id_bien;com_code;Code postal;Nombre pieces principales;Surface Carrez du 1er lot;Type local
1;1103;1170;3;48.22;Appartement
2;6004;6160;1;39.11;Appartement
3;6088;6000;3;80.25;Appartement
4;6123;6700;1;27.51;Appartement
5;13005;13400;2;47.33;Appartement
6;13028;13600;1;25.31;Appartement
7;13208;13008;3;70.84;Appartement
8;13212;13012;3;67.19;Appartement
9;14338;14510;1;18.89;Appartement
10;14366;14100;4;105.37;Maison
11;17300;17000;2;31.99;Appartement
12;25056;25000;5;96.21;Maison
13;29232;29000;1;30.86;Appartement
14;29260;29290;3;66.21;Appartement
15;31555;31500;2;45.58;Appartement
16;33063;33800;1;23.2;Appartement
17;33063;33000;1;13.1;Appartement
18;33097;33121;2;29;Appartement
19;33449;33160;2;51.4;Appartement
20;34145;34400;1;16.79;Appartement
21;34150;34340;2;51.4;Appartement
22;34199;34120;3;68.22;Appartement
23;37156;37270;4;88.45;Maison
24;37261;37000;2;42.94;Appartement
25;38185;38000;4;76.48;Appartement
26;40266;40170;3;48.23;Maison
27;40328;40480;2;49.91;Appartement
28;44143;44400;2;46.3;Appartement
29;44184;44600;2;47.24;Appartement
30;51230;51200;4;81.09;Appartement
31;54395;54000;2;39.69;Appartement
32;56161;56400;3;43.85;Appartement
33;58194;58000;4;108.78;Appartement
34;59512;59100;3;89.84;Appartement
35;60057;60000;2;48.35;Appartement
36;60155;60660;1;19.11;Appartement
37;60159;60200;5;97.39;Appartement
38;60524;60290;1;31.73;Appartement
39;69149;69600;2;49.89;Appartement
40;69384;69004;1;20.02;Appartement
41;74119;74500;2;34.86;Appartement
42;74236;74170;2;39.05;Appartement
43;74238;74430;1;18.93;Appartement
44;74278;74300;4;88.59;Appartement
45;75105;75005;2;30.05;Appartement
46;75110;75010;2;32.3;Appartement
47;75111;75011;4;120.28;Appartement
48;75111;75011;2;17.94;Appartement
49;75111;75011;2;28.39;Appartement
50;75112;75012;2;18;Appartement
51;75112;75012;3;51.44;Appartement
52;75112;75012;1;10.06;Appartement
53;75115;75015;4;88.3;Appartement
54;75118;75018;1;23.98;Appartement
55;75118;75018;2;53.59;Appartement
56;75118;75018;2;24.3;Appartement
57;76217;76200;4;61.52;Appartement
58;76451;76130;3;57.27;Appartement
59;76655;76460;1;23.98;Appartement
60;77118;77410;2;35.32;Appartement
61;78350;78430;4;89.41;Appartement
62;78423;78180;5;106.19;Appartement
63;78545;78210;4;67.76;Appartement
64;78545;78210;2;40.55;Appartement
65;78551;78100;5;84.31;Appartement
66;78586;78500;3;74;Appartement
67;78640;78140;2;49.16;Appartement
68;83062;83130;2;50.74;Appartement
69;83069;83400;1;20.15;Appartement
70;83112;83270;2;47.52;Appartement
71;83123;83110;5;86.92;Maison
72;84007;84000;2;37.24;Appartement
73;85047;85300;2;43.12;Appartement
74;86062;86360;1;30.42;Appartement
75;86194;86000;4;71.03;Appartement
76;87075;87170;2;62.95;Appartement
77;87085;87100;2;43.54;Appartement
78;91249;91470;5;128.34;Appartement
79;91689;91320;2;43.42;Appartement
80;92025;92700;3;49.45;Appartement
81;92026;92400;3;62.1;Appartement
82;92036;92230;3;59.35;Appartement
83;92044;92300;2;52.85;Appartement
84;93032;93220;4;106.31;Maison
85;93051;93160;4;77.93;Appartement
86;93057;93320;2;46;Appartement
87;93071;93270;2;24.63;Appartement
88;94044;94450;3;67.1;Appartement
89;94060;94510;4;80;Maison
90;94060;94510;2;48.02;Appartement
91;94080;94300;1;16.37;Appartement
92;95252;95130;4;72.53;Appartement
93;95388;95180;5;90.07;Maison
94;95607;95150;3;57.1;Appartement
95;1262;1120;1;41.82;Appartement
96;2408;2000;6;165.11;Appartement
97;3190;3000;3;124.01;Appartement
98;4073;4400;1;24.32;Appartement
99;4166;4500;4;106.43;Appartement
100;4209;4200;1;32.89;Appartement
101;6004;6600;2;37.66;Appartement
102;6027;6800;3;58.42;Appartement
103;6088;6000;4;99.04;Appartement
104;6088;6000;3;30.2;Appartement
105;6088;6100;3;68.75;Appartement
106;6159;6230;2;56.05;Appartement
107;10323;10100;3;55.5;Appartement
108;13119;13470;3;53.09;Appartement
109;13201;13001;2;48.24;Appartement
110;13204;13004;1;28.4;Appartement
111;13206;13006;3;51.01;Appartement
112;13209;13009;3;51.54;Appartement
113;14118;14000;2;34.83;Appartement
114;14333;14600;1;12.44;Appartement
115;14715;14360;2;53.76;Appartement
116;14754;14640;2;52.82;Maison
117;17300;17000;1;32.18;Appartement
118;17414;17138;3;49.9;Maison
119;22113;22300;4;68.3;Appartement
120;22168;22700;2;54.42;Appartement
121;22278;22000;4;64;Appartement
122;24322;24000;1;31.05;Appartement
123;25527;25410;5;127.96;Appartement
