com_code;dep_code;nom_commune;ptot
1001;1;L'Abergement-Clémenciat;798
1002;1;L'Abergement-de-Varey;257
1004;1;Ambérieu-en-Bugey;14514
1005;1;Ambérieux-en-Dombes;1776
1006;1;Ambléon;118
1007;1;Ambronay;2915
1008;1;Ambutrix;777
1009;1;Andert-et-Condon;335
1010;1;Anglefort;1122
1011;1;Apremont;379
1012;1;Aranc;333
1013;1;Arandas;147
1014;1;Arbent;3442
1015;1;Arboys en Bugey;667
1016;1;Arbigny;469
1017;1;Argis;473
1019;1;Armix;31
1021;1;Ars-sur-Formans;1485
1022;1;Artemare;1267
1023;1;Asnières-sur-Saône;76
1024;1;Attignat;3316
1025;1;Bâgé-Dommartin;4171
1026;1;Bâgé-le-Châtel;1041
1027;1;Balan;2615
1028;1;Baneins;634
1029;1;Beaupont;693
1030;1;Beauregard;844
1031;1;Bellignat;3886
1032;1;Béligneux;3405
1033;1;Valserhône;16728
1034;1;Belley;9582
1035;1;Belleydoux;318
1036;1;Valromey-sur-Séran;1345
1037;1;Bénonces;312
1038;1;Bény;775
1039;1;Béon;451
1040;1;Béréziat;496
1041;1;Bettant;769
1042;1;Bey;305
1043;1;Beynost;4867
1044;1;Billiat;648
1045;1;Birieux;287
1046;1;Biziat;903
1047;1;Blyes;1214
1049;1;La Boisse;3356
1050;1;Boissey;369
1051;1;Bolozon;92
1052;1;Bouligneux;334
1053;1;Bourg-en-Bresse;42853
1054;1;Bourg-Saint-Christophe;1489
1056;1;Boyeux-Saint-Jérôme;354
1057;1;Boz;535
1058;1;Brégnier-Cordon;849
1060;1;Brénod;514
1061;1;Brens;1179
1062;1;Bressolles;956
1063;1;Brion;540
1064;1;Briord;1090
1065;1;Buellas;1876
1066;1;La Burbanche;90
1067;1;Ceignes;268
1068;1;Cerdon;790
1069;1;Certines;1542
1071;1;Cessy;4925
1072;1;Ceyzériat;3256
1073;1;Ceyzérieu;1025
1074;1;Chalamont;2624
1075;1;Chaleins;1413
1076;1;Chaley;128
1077;1;Challes-la-Montagne;199
1078;1;Challex;1590
1079;1;Champagne-en-Valromey;842
1080;1;Champdor-Corcelles;657
1081;1;Champfromier;756
1082;1;Chanay;642
1083;1;Chaneins;944
1084;1;Chanoz-Châtenay;913
1085;1;La Chapelle-du-Châtelard;405
1087;1;Charix;292
1088;1;Charnoz-sur-Ain;930
1089;1;Château-Gaillard;2303
1090;1;Châtenay;362
1092;1;Châtillon-la-Palud;1662
1093;1;Châtillon-sur-Chalaronne;5134
1094;1;Chavannes-sur-Reyssouze;773
1095;1;Nivigne et Suran;865
1096;1;Chaveyriat;1064
1098;1;Chazey-Bons;1195
1099;1;Chazey-sur-Ain;1623
1100;1;Cheignieu-la-Balme;135
1101;1;Chevillard;159
1102;1;Chevroux;976
1103;1;Chevry;2196
1104;1;Chézery-Forens;471
1105;1;Civrieux;1882
1106;1;Cize;186
1107;1;Cleyzieu;137
1108;1;Coligny;1200
1109;1;Collonges;2272
1110;1;Colomieu;158
1111;1;Conand;133
1112;1;Condamine;462
1113;1;Condeissiat;829
1114;1;Confort;679
1115;1;Confrançon;1363
1116;1;Contrevoz;510
1117;1;Conzieu;153
1118;1;Corbonod;1310
1121;1;Corlier;117
1123;1;Cormoranche-sur-Saône;1197
1124;1;Cormoz;697
1125;1;Corveissiat;625
1127;1;Courmangoux;516
1128;1;Courtes;306
1129;1;Crans;297
1130;1;Bresse Vallons;2407
1133;1;Cressin-Rochefort;400
1134;1;Crottet;1803
1135;1;Crozet;2235
1136;1;Cruzilles-lès-Mépillat;913
1138;1;Culoz;3068
1139;1;Curciat-Dongalon;449
1140;1;Curtafond;786
1141;1;Cuzieu;468
1142;1;Dagneux;4834
1143;1;Divonne-les-Bains;10190
1145;1;Dompierre-sur-Veyle;1201
1146;1;Dompierre-sur-Chalaronne;439
1147;1;Domsure;495
1148;1;Dortan;1925
1149;1;Douvres;1104
1150;1;Drom;219
1151;1;Druillat;1173
1152;1;Echallon;768
1153;1;Echenevex;2189
1155;1;Evosges;147
1156;1;Faramans;827
1157;1;Fareins;2292
1158;1;Farges;1065
1159;1;Feillens;3436
1160;1;Ferney-Voltaire;10189
1162;1;Flaxieu;68
1163;1;Foissiat;2073
1165;1;Francheleins;1627
1166;1;Frans;2484
1167;1;Garnerans;658
1169;1;Genouilleux;663
1170;1;Béard-Géovreissiat;1081
1171;1;Géovreisset;886
1173;1;Gex;13391
1174;1;Giron;180
1175;1;Gorrevod;807
1177;1;Grand-Corent;189
1179;1;Grièges;1933
1180;1;Grilly;860
1181;1;Groissiat;1291
1183;1;Guéreins;1508
1184;1;Hautecourt-Romanèche;789
1185;1;Plateau d'Hauteville;5020
1187;1;Haut Valromey;639
1188;1;Illiat;683
1189;1;Injoux-Génissiat;1141
1190;1;Innimond;90
1191;1;Izenave;158
1192;1;Izernore;2338
1193;1;Izieu;229
1194;1;Jassans-Riottier;6439
1195;1;Jasseron;1837
1196;1;Jayat;1239
1197;1;Journans;364
1198;1;Joyeux;271
1199;1;Jujurieux;2183
1200;1;Labalme;219
1202;1;Lagnieu;7308
1203;1;Laiz;1355
1204;1;Le Poizat-Lalleyriat;750
1206;1;Lantenay;283
1207;1;Lapeyrouse;329
1208;1;Lavours;135
1209;1;Léaz;794
1210;1;Lélex;232
1211;1;Lent;1430
1212;1;Lescheroux;727
1213;1;Leyment;1370
1214;1;Leyssard;164
1215;1;Surjoux-Lhopital;143
1216;1;Lhuis;915
1219;1;Lompnas;167
1224;1;Loyettes;3256
1225;1;Lurcy;380
1227;1;Magnieu;657
1228;1;Maillat;674
1229;1;Malafretaz;1259
1230;1;Mantenay-Montlin;319
1231;1;Manziat;1996
1232;1;Marboz;2323
1233;1;Marchamp;133
1234;1;Marignieu;172
1235;1;Marlieux;1246
1236;1;Marsonnas;1040
1237;1;Martignat;1732
1238;1;Massieux;2726
1239;1;Massignieu-de-Rives;634
1240;1;Matafelon-Granges;643
1241;1;Meillonnas;1390
1242;1;Mérignat;137
1243;1;Messimy-sur-Saône;1288
1244;1;Meximieux;8062
1245;1;Bohas-Meyriat-Rignat;964
1246;1;Mézériat;2253
1247;1;Mijoux;326
1248;1;Mionnay;2251
1249;1;Miribel;10273
1250;1;Misérieux;2226
1252;1;Mogneneins;808
1254;1;Montagnat;2167
1255;1;Montagnieu;659
1257;1;Montanges;361
1258;1;Montceaux;1222
1259;1;Montcet;718
1260;1;Le Montellier;307
1261;1;Monthieux;691
1262;1;Montluel;6969
1263;1;Montmerle-sur-Saône;3859
1264;1;Montracol;1036
1265;1;Montréal-la-Cluse;3527
1266;1;Montrevel-en-Bresse;2618
1267;1;Nurieux-Volognat;1048
1268;1;Murs-et-Gélignieux;249
1269;1;Nantua;3589
1272;1;Neuville-les-Dames;1520
1273;1;Neuville-sur-Ain;1827
1274;1;Les Neyrolles;660
1275;1;Neyron;2619
1276;1;Niévroz;1651
1277;1;Nivollet-Montgriffon;119
1279;1;Oncieu;86
1280;1;Ordonnaz;139
1281;1;Ornex;4653
1282;1;Outriaz;264
1283;1;Oyonnax;22935
1284;1;Ozan;707
1285;1;Parcieux;1259
1286;1;Parves et Nattages;989
1288;1;Péron;2772
1289;1;Péronnas;6811
1290;1;Pérouges;1305
1291;1;Perrex;849
1293;1;Peyriat;152
1294;1;Peyrieu;902
1295;1;Peyzieux-sur-Saône;699
1296;1;Pirajoux;428
1297;1;Pizay;882
1298;1;Plagne;152
1299;1;Le Plantay;592
1301;1;Polliat;2608
1302;1;Pollieu;168
1303;1;Poncin;1735
1304;1;Pont-d'Ain;2977
1305;1;Pont-de-Vaux;2256
1306;1;Pont-de-Veyle;1705
1307;1;Port;857
1308;1;Pougny;821
1309;1;Pouillat;85
1310;1;Prémeyzel;255
1311;1;Prémillieu;44
1313;1;Prévessin-MoÃ«ns;8950
1314;1;Priay;1762
1317;1;Ramasse;336
1318;1;Rancé;743
1319;1;Relevant;475
1320;1;Replonges;3882
1321;1;Revonnas;917
1322;1;Reyrieux;5124
1323;1;Reyssouze;1003
1325;1;Rignieux-le-Franc;1050
1328;1;Romans;601
1329;1;Rossillon;159
1330;1;Ruffieu;188
1331;1;Saint-Alban;187
1332;1;Saint-André-de-Bâgé;802
1333;1;Saint-André-de-Corcy;3428
1334;1;Saint-André-d'Huiriat;667
1335;1;Saint-André-le-Bouchoux;408
1336;1;Saint-André-sur-Vieux-Jonc;1196
1337;1;Saint-Bénigne;1338
1338;1;Groslée-Saint-Benoit;1264
1339;1;Saint-Bernard;1506
1342;1;Sainte-Croix;565
1343;1;Saint-Cyr-sur-Menthon;1834
1344;1;Saint-Denis-lès-Bourg;6109
1345;1;Saint-Denis-en-Bugey;2300
1346;1;Saint-Didier-d'Aussiat;877
1347;1;Saint-Didier-de-Formans;2098
1348;1;Saint-Didier-sur-Chalaronne;3003
1349;1;Saint-Eloi;508
1350;1;Saint-Etienne-du-Bois;2582
1351;1;Saint-Etienne-sur-Chalaronne;1597
1352;1;Saint-Etienne-sur-Reyssouze;589
1353;1;Sainte-Euphémie;1728
1354;1;Saint-Genis-Pouilly;14143
1355;1;Saint-Genis-sur-Menthon;493
1356;1;Saint-Georges-sur-Renon;213
1357;1;Saint-Germain-de-Joux;509
1358;1;Saint-Germain-les-Paroisses;432
1359;1;Saint-Germain-sur-Renon;249
1360;1;Saint-Jean-de-Gonville;1943
1361;1;Saint-Jean-de-Niost;1625
1362;1;Saint-Jean-de-Thurigneux;801
1363;1;Saint-Jean-le-Vieux;1842
1364;1;Saint-Jean-sur-Reyssouze;763
1365;1;Saint-Jean-sur-Veyle;1182
1366;1;Sainte-Julie;1100
1367;1;Saint-Julien-sur-Reyssouze;750
1368;1;Saint-Julien-sur-Veyle;853
1369;1;Saint-Just;967
1370;1;Saint-Laurent-sur-Saône;1716
1371;1;Saint-Marcel;1271
1372;1;Saint-Martin-de-Bavel;449
1373;1;Saint-Martin-du-Frêne;1053
1374;1;Saint-Martin-du-Mont;1916
1375;1;Saint-Martin-le-Châtel;802
1376;1;Saint-Maurice-de-Beynost;4001
1378;1;Saint-Maurice-de-Gourdans;2699
1379;1;Saint-Maurice-de-Rémens;771
1380;1;Saint-Nizier-le-Bouchoux;645
1381;1;Saint-Nizier-le-Désert;939
1382;1;Sainte-Olive;281
1383;1;Saint-Paul-de-Varax;1583
1384;1;Saint-Rambert-en-Bugey;2221
1385;1;Saint-Rémy;1008
1386;1;Saint-Sorlin-en-Bugey;1193
1387;1;Saint-Sulpice;259
1388;1;Saint-Trivier-de-Courtes;1111
1389;1;Saint-Trivier-sur-Moignans;1877
1390;1;Saint-Vulbas;1267
1391;1;Salavre;279
1392;1;Samognat;683
1393;1;Sandrans;549
1396;1;Sault-Brénaz;990
1397;1;Sauverny;997
1398;1;Savigneux;1438
1399;1;Ségny;2158
1400;1;Seillonnaz;142
1401;1;Sergy;2238
1402;1;Sermoyer;672
1403;1;Serrières-de-Briord;1336
1404;1;Serrières-sur-Ain;137
1405;1;Servas;1309
1406;1;Servignat;175
1407;1;Seyssel;1020
1408;1;Simandre-sur-Suran;673
1410;1;Sonthonnax-la-Montagne;307
1411;1;Souclin;279
1412;1;Sulignat;607
1415;1;Talissieu;505
1416;1;Tenay;1025
1418;1;Thil;1114
1419;1;Thoiry;6197
1420;1;Thoissey;1698
1421;1;Torcieu;745
1422;1;Tossiat;1391
1423;1;Toussieux;1145
1424;1;Tramoyes;1819
1425;1;La Tranclière;295
1426;1;Val-Revermont;2597
1427;1;Trévoux;7084
1428;1;Valeins;127
1429;1;Vandeins;720
1430;1;Varambon;631
1431;1;Vaux-en-Bugey;1257
1432;1;Verjon;325
1433;1;Vernoux;317
1434;1;Versailleux;482
1435;1;Versonnex;2226
1436;1;Vesancy;492
1437;1;Vescours;228
1439;1;Vésines;103
1441;1;Vieu-d'Izenave;752
1443;1;Villars-les-Dombes;5073
1444;1;Villebois;1213
1445;1;Villemotier;636
1446;1;Villeneuve;1585
1447;1;Villereversure;1374
1448;1;Villes;397
1449;1;Villette-sur-Ain;773
1450;1;Villieu-Loyes-Mollon;3784
1451;1;Viriat;6745
1452;1;Virieu-le-Grand;1156
1453;1;Arvière-en-Valromey;733
1454;1;Virignin;1133
1456;1;Vongnes;73
1457;1;Vonnas;3240
2001;2;Abbécourt;513
2002;2;Achery;618
2003;2;Acy;1045
2004;2;Agnicourt-et-Séchelles;187
2005;2;Aguilcourt;388
2006;2;Aisonville-et-Bernoville;271
2007;2;Aizelles;123
2008;2;Aizy-Jouy;298
2009;2;Alaincourt;540
2010;2;Allemant;177
2011;2;Ambleny;1192
2012;2;Ambrief;71
2013;2;Amifontaine;395
2014;2;Amigny-Rouy;752
2015;2;Ancienville;73
2016;2;Andelain;225
2017;2;Anguilcourt-le-Sart;327
2018;2;Anizy-le-Grand;2627
2019;2;Annois;367
2020;2;Any-Martin-Rieux;463
2021;2;Archon;87
2022;2;Arcy-Sainte-Restitue;409
2023;2;Armentières-sur-Ourcq;105
2024;2;Arrancy;51
2025;2;Artemps;369
2027;2;Assis-sur-Serre;221
2028;2;Athies-sous-Laon;2666
2029;2;Attilly;366
2030;2;Aubencheul-aux-Bois;261
2031;2;Aubenton;667
2032;2;Aubigny-aux-Kaisnes;257
2033;2;Aubigny-en-Laonnois;106
2034;2;Audignicourt;125
2035;2;Audigny;289
2036;2;Augy;73
2037;2;Aulnois-sous-Laon;1416
2038;2;Les Autels;59
